"AutoPitchType","RelSpeed","SpinRate","InducedVertBreak","HorzBreak","PitchCall","BatterSide","Strikes","Balls","Date"
"Four-Seam",95.76796,2131.622317,16.72013,11.11056,"BallCalled","Left",0,0,"2023-06-13"
"Four-Seam",96.38015,2183.79728,16.54336,10.15296,"BallCalled","Left",0,1,"2023-06-13"
"Four-Seam",96.51054,2187.889178,11.38272,7.31138,"FoulBall","Left",0,2,"2023-06-13"
"Four-Seam",95.80407,2184.264895,13.90178,8.69044,"InPlay","Left",1,2,"2023-06-13"
"Slider",86.25806,2597.263778,-9.48107,-3.30851,"BallCalled","Right",0,0,"2023-06-13"
"Four-Seam",96.73755,2218.330555,18.49147,9.66095,"InPlay","Right",0,1,"2023-06-13"
"Four-Seam",97.06926,2182.907137,9.65012,9.66638,"BallCalled","Left",0,0,"2023-06-13"
"Four-Seam",96.71083,2224.144354,15.53339,11.12642,"FoulBall","Left",0,1,"2023-06-13"
"Slider",85.89976,2519.964348,-2.64882,-6.14422,"BallCalled","Left",1,1,"2023-06-13"
"Four-Seam",96.44157,2211.586863,15.91587,8.22815,"InPlay","Left",1,2,"2023-06-13"
"Slider",84.59889,2454.837883,-7.21819,-7.04426,"StrikeCalled","Right",0,0,"2023-06-13"
"Curveball",84.66257,2380.195428,-10.8478,-3.45851,"StrikeSwinging","Right",1,0,"2023-06-13"
"Curveball",85.03169,2438.806835,-8.27044,-4.73441,"StrikeSwinging","Right",2,0,"2023-06-13"
"Four-Seam",95.42267,2088.073161,12.70808,1.97473,"FoulBall","Right",0,0,"2023-06-13"
"Four-Seam",96.76637,2315.342407,8.76752,9.29504,"BallCalled","Right",1,0,"2023-06-13"
"Curveball",85.63637,2527.881288,-7.51713,-5.44091,"StrikeSwinging","Right",1,1,"2023-06-13"
"Slider",86.48748,2585.096228,-1.35689,-11.30697,"StrikeCalled","Right",2,1,"2023-06-13"
"Slider",85.43214,2497.591027,-6.10929,-11.76138,"StrikeCalled","Right",0,0,"2023-06-13"
"Slider",86.78384,2650.852376,-8.16426,-3.52882,"StrikeSwinging","Right",1,0,"2023-06-13"
"Slider",86.36893,2604.390252,-6.32237,-5.99996,"StrikeSwinging","Right",2,0,"2023-06-13"
"Four-Seam",95.43307,2328.92492,14.65363,12.50304,"FoulBall","Left",0,0,"2023-06-13"
"Sinker",92.78781,2158.038603,11.72709,15.86257,"BallCalled","Left",1,0,"2023-06-13"
"Four-Seam",95.71213,2277.36534,12.42131,10.71111,"BallCalled","Left",1,0,"2023-06-13"
"Four-Seam",94.82274,2172.759544,12.21367,5.24744,"BallCalled","Left",1,1,"2023-06-13"
"Slider",85.30806,2458.590819,-5.43386,-1.31008,"BallCalled","Left",1,2,"2023-06-13"
"Four-Seam",95.45301,2258.553311,11.2678,7.48847,"FoulBall","Left",0,0,"2023-06-13"
"Curveball",86.42627,2546.817593,-7.8878,-5.94559,"BallCalled","Left",2,3,"2023-06-13"
"Slider",85.27638,2361.399522,-5.54772,-3.52433,"BallCalled","Left",2,3,"2023-06-13"
"Four-Seam",95.37028,2216.032487,14.21233,8.56709,"StrikeCalled","Left",2,3,"2023-06-13"
"Four-Seam",95.66943,2161.611791,14.84052,9.13225,"BallCalled","Left",0,0,"2023-06-13"
"Sinker",94.32158,2171.783077,6.43288,7.5543,"StrikeCalled","Left",0,1,"2023-06-13"
"Slider",85.67617,2479.184804,-6.85713,-3.5126,"BallCalled","Left",1,1,"2023-06-13"
"Four-Seam",95.16373,2206.587579,10.62493,5.4026,"FoulBall","Left",1,2,"2023-06-13"
"Slider",87.23506,2517.497246,-6.4563,-1.90169,"StrikeSwinging","Left",2,2,"2023-06-13"
"Slider",84.44708,2466.033993,-5.20886,-3.71103,"FoulBall","Left",0,0,"2023-06-13"
"Curveball",85.6922,2313.005897,-8.55052,-2.89437,"BallCalled","Left",1,0,"2023-06-13"
"Four-Seam",95.23912,2259.519675,16.25792,8.25827,"StrikeSwinging","Left",1,1,"2023-06-13"
"Four-Seam",94.87993,2125.489864,13.62847,1.83752,"FoulBall","Left",2,1,"2023-06-13"
"Slider",86.94913,2504.316112,-4.94843,-2.70154,"InPlay","Left",2,1,"2023-06-13"
"Slider",85.5053,2338.430088,-1.00122,-1.59099,"StrikeSwinging","Right",0,0,"2023-06-13"
"Curveball",85.32795,2604.177639,-11.43445,-5.94803,"BallCalled","Right",1,0,"2023-06-13"
"Curveball",85.20912,2489.779532,-7.48878,-2.71992,"BallCalled","Right",1,1,"2023-06-13"
"Four-Seam",95.74842,2378.274211,15.51737,6.68181,"InPlay","Right",1,2,"2023-06-13"
"Sinker",92.96372,1965.510657,6.22075,15.37709,"FoulBall","Left",0,0,"2023-06-13"
"Four-Seam",95.1417,2280.459094,14.45639,7.78662,"BallCalled","Left",1,0,"2023-06-13"
"Slider",85.29728,2440.265701,-3.52122,-4.59197,"BallCalled","Left",1,1,"2023-06-13"
"Four-Seam",94.24344,2273.285777,13.37044,8.37591,"InPlay","Left",1,2,"2023-06-13"
"Slider",85.89765,2367.312053,-4.23067,-2.99772,"StrikeSwinging","Right",0,0,"2023-06-13"
"Slider",85.79902,2459.271769,-6.41351,-3.6711,"BallCalled","Right",1,0,"2023-06-13"
"Four-Seam",95.48233,2429.700756,17.91119,6.76122,"BallCalled","Right",1,1,"2023-06-13"
"Four-Seam",96.22416,2396.125508,15.21328,7.24095,"StrikeCalled","Right",1,2,"2023-06-13"
"Slider",86.19747,2551.931371,-4.3374,-4.07729,"InPlay","Right",2,2,"2023-06-13"
"Four-Seam",97.00428,2159.4471,17.05273,8.49378,"StrikeSwinging","Left",0,0,"2023-06-19"
"Four-Seam",96.99617,2183.492461,14.42477,13.20209,"BallCalled","Left",1,0,"2023-06-19"
"Four-Seam",97.23235,2309.461767,16.34662,12.85776,"BallCalled","Left",1,1,"2023-06-19"
"Four-Seam",97.06825,2256.125232,16.22021,12.99973,"StrikeSwinging","Left",1,2,"2023-06-19"
"Four-Seam",97.92844,2240.831373,14.14757,11.74631,"InPlay","Left",2,2,"2023-06-19"
"Slider",85.97099,2461.544922,-5.35551,-3.26988,"BallCalled","Right",0,0,"2023-06-19"
"Slider",86.44139,2481.096875,-5.58898,-2.77508,"FoulBall","Right",0,1,"2023-06-19"
"Slider",86.24848,2461.075535,-6.63477,-2.10268,"StrikeCalled","Right",1,1,"2023-06-19"
"Four-Seam",97.04081,2139.778125,18.37847,9.54926,"FoulBall","Right",2,1,"2023-06-19"
"Slider",87.17187,2472.738273,-7.37591,2.1291,"StrikeSwinging","Right",2,1,"2023-06-19"
"Four-Seam",96.61912,2273.46385,16.82422,9.07205,"StrikeCalled","Right",0,0,"2023-06-19"
"Slider",87.33482,2482.507377,-9.10225,-2.65173,"StrikeSwinging","Right",1,0,"2023-06-19"
"Slider",86.79478,2339.967277,-7.73556,-0.74953,"StrikeSwinging","Right",2,0,"2023-06-19"
"Four-Seam",96.74743,2165.248425,18.46332,8.8578,"StrikeCalled","Left",0,0,"2023-06-19"
"Four-Seam",95.17419,2216.033828,12.71005,8.85961,"BallCalled","Left",1,0,"2023-06-19"
"Slider",86.7617,2402.268874,-7.05118,-0.7324,"StrikeSwinging","Left",1,1,"2023-06-19"
"Four-Seam",95.94262,2282.313222,16.97111,10.97827,"BallCalled","Left",2,1,"2023-06-19"
"Slider",86.72328,2392.778508,-4.54717,-3.56512,"BallCalled","Left",2,2,"2023-06-19"
"Slider",86.42949,2356.405589,-6.33441,-1.82169,"StrikeSwinging","Left",2,3,"2023-06-19"
"Sinker",96.79456,2212.179015,10.4176,20.46647,"StrikeSwinging","Left",0,1,"2023-06-19"
"Sinker",96.66167,2242.267114,12.81367,13.70209,"BallCalled","Left",1,1,"2023-06-19"
"Sinker",96.50946,2205.851442,11.01264,17.35895,"BallCalled","Left",1,2,"2023-06-19"
"Four-Seam",95.96315,2287.639988,18.43214,9.58453,"BallCalled","Left",1,3,"2023-06-19"
"Sinker",95.51489,2153.261099,9.47957,13.33213,"InPlay","Left",0,0,"2023-06-19"
"Curveball",85.69725,2553.402203,-8.50977,-8.55386,"BallCalled","Right",0,0,"2023-06-19"
"Four-Seam",95.61322,2276.363426,20.1743,10.23516,"StrikeCalled","Right",0,1,"2023-06-19"
"Slider",86.10813,2471.053421,-5.35906,-7.12965,"InPlay","Right",1,1,"2023-06-19"
"Sinker",96.1401,2238.045702,16.71422,17.53895,"StrikeCalled","Left",0,0,"2023-06-19"
"Sinker",96.4336,2168.217183,15.35536,18.16635,"BallCalled","Left",1,0,"2023-06-19"
"Four-Seam",95.98086,2209.991132,16.99446,10.27213,"FoulBall","Left",1,1,"2023-06-19"
"Slider",86.96618,2467.456267,-8.66745,-3.79973,"FoulBall","Left",2,1,"2023-06-19"
"Slider",85.68524,2432.867927,-6.43776,-3.06713,"BallCalled","Left",2,1,"2023-06-19"
"Four-Seam",95.76057,2148.645301,14.69174,7.15544,"BallCalled","Left",2,2,"2023-06-19"
"Slider",85.69799,2438.085456,-6.56185,-1.58634,"InPlay","Left",2,3,"2023-06-19"
"Four-Seam",97.05215,2146.022552,16.6254,5.45185,"FoulBall","Right",0,0,"2023-06-19"
"Slider",86.81683,2483.880862,-8.90642,-0.06165,"StrikeSwinging","Right",1,0,"2023-06-19"
"Slider",86.92445,2537.981759,-8.37882,-3.66579,"InPlay","Right",2,0,"2023-06-19"
"Four-Seam",96.36924,2176.336202,14.87973,8.58154,"BallCalled","Left",0,0,"2023-06-19"
"Four-Seam",95.6748,2276.139359,15.74414,6.95516,"FoulBall","Left",0,1,"2023-06-19"
"Slider",86.8665,2384.984237,-6.44611,0.10295,"StrikeCalled","Left",1,1,"2023-06-19"
"Slider",85.4269,2362.419739,-6.33559,0.11866,"StrikeSwinging","Left",2,1,"2023-06-19"
"Four-Seam",95.54878,2179.443093,17.73729,12.49477,"BallCalled","Right",0,0,"2023-06-19"
"Slider",86.29591,2488.172109,-4.2624,1.69925,"InPlay","Right",0,1,"2023-06-19"
"Four-Seam",95.224,2188.779613,18.78643,13.37808,"StrikeCalled","Right",0,0,"2023-06-19"
"Four-Seam",96.44222,2256.428732,20.46064,9.57674,"StrikeSwinging","Right",1,0,"2023-06-19"
"Four-Seam",96.18069,2130.43999,14.42954,8.92134,"FoulBall","Right",2,0,"2023-06-19"
"Slider",86.26884,2370.800053,-5.98292,0.4998,"InPlay","Right",2,0,"2023-06-19"
"Four-Seam",94.37183,2098.197446,15.54387,9.43784,"BallCalled","Left",0,0,"2023-06-19"
"Four-Seam",95.59128,2079.196707,12.36288,8.59162,"BallCalled","Left",0,1,"2023-06-19"
"Slider",85.39248,2459.76133,-6.29953,2.24965,"StrikeCalled","Left",0,2,"2023-06-19"
"Slider",85.20737,2518.209246,-6.2302,-2.87154,"FoulBall","Left",1,2,"2023-06-19"
"Four-Seam",95.71908,2275.136241,12.7139,6.47622,"BallCalled","Left",2,2,"2023-06-19"
"Slider",85.09249,2354.369652,-6.08213,-3.62047,"BallCalled","Left",2,3,"2023-06-19"
"Four-Seam",94.84928,2316.216692,13.5093,8.05583,"InPlay","Left",0,0,"2023-06-19"
"Four-Seam",95.25147,2308.276974,14.24225,9.363,"StrikeCalled","Left",0,0,"2023-06-19"
"Slider",86.22207,2433.992331,-1.74473,-0.03429,"BallCalled","Left",1,0,"2023-06-19"
"Slider",86.0106,2489.324348,-2.36288,-2.17736,"BallCalled","Left",1,1,"2023-06-19"
"Sinker",95.42842,2411.835484,8.59075,11.75697,"StrikeSwinging","Left",1,2,"2023-06-19"
"Four-Seam",96.24084,2359.952072,12.7056,9.9706,"InPlay","Left",2,2,"2023-06-19"
"Four-Seam",96.45852,2238.564649,15.76643,13.24123,"StrikeCalled","Right",0,0,"2023-06-19"
"Four-Seam",96.37357,2219.031109,17.72517,7.4926,"StrikeSwinging","Right",1,0,"2023-06-19"
"Four-Seam",96.06495,2069.175344,15.42607,8.69327,"BallCalled","Right",2,0,"2023-06-19"
"Slider",85.94197,2347.072924,-3.10177,-3.08103,"BallCalled","Right",2,1,"2023-06-19"
"Slider",86.24686,2330.239245,-3.71095,-2.21201,"StrikeCalled","Right",2,2,"2023-06-19"
"Slider",85.30785,2348.948708,-6.50398,0.97039,"StrikeSwinging","Left",0,0,"2023-06-19"
"Slider",85.68931,2258.391507,-1.15764,-0.23642,"BallCalled","Left",1,0,"2023-06-19"
"Four-Seam",95.98129,2209.608652,19.59702,10.53304,"StrikeCalled","Left",1,1,"2023-06-19"
"Slider",86.68585,2288.488891,-1.99969,-0.31008,"BallinDirt","Left",2,1,"2023-06-19"
"Slider",86.89391,2423.045078,-5.42933,-2.40158,"BallCalled","Left",2,2,"2023-06-19"
"Four-Seam",96.30145,2278.73084,12.01831,11.93135,"BallCalled","Left",2,3,"2023-06-19"
"Four-Seam",95.76302,2112.117012,18.79056,11.64595,"BallCalled","Right",0,0,"2023-06-19"
"Four-Seam",96.77013,2158.672989,19.42926,9.64485,"StrikeSwinging","Right",0,1,"2023-06-19"
"Four-Seam",95.77717,2260.606456,14.89635,12.29792,"StrikeCalled","Right",1,1,"2023-06-19"
"Slider",86.76163,2315.808404,-3.55347,1.56917,"BallinDirt","Right",2,1,"2023-06-19"
"Slider",86.50079,2430.987196,-4.56792,-2.90366,"StrikeCalled","Right",2,2,"2023-06-19"
"Sinker",94.44712,2012.407781,13.21264,11.9465,"StrikeCalled","Left",0,0,"2023-06-19"
"Sinker",94.37073,2072.473834,13.81961,13.05694,"InPlay","Left",1,0,"2023-06-19"
"Four-Seam",94.49963,1930.160257,10.76812,6.96555,"StrikeSwinging","Right",0,0,"2023-06-19"
"Sinker",94.59567,2059.742911,10.52343,11.25182,"BallCalled","Right",1,0,"2023-06-19"
"Slider",86.24348,2369.593375,-5.86032,-3.75961,"StrikeCalled","Right",1,1,"2023-06-19"
"Slider",85.0863,2418.261565,-3.19173,-4.16024,"StrikeCalled","Right",2,1,"2023-06-19"
"Four-Seam",95.42816,2059.467844,20.99828,8.07642,"BallCalled","Right",0,0,"2023-06-19"
"Sinker",93.49019,2089.052597,9.09457,10.71843,"BallCalled","Right",0,1,"2023-06-19"
"Slider",84.78008,2412.367331,-3.42083,-0.36016,"FoulBall","Right",0,2,"2023-06-19"
"Four-Seam",93.76473,2063.791722,14.01209,6.70646,"StrikeCalled","Right",1,2,"2023-06-19"
"Slider",85.96491,2327.58235,-5.78107,1.83213,"InPlay","Right",2,2,"2023-06-19"
